         2227 function calls in 0.007 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.007    0.002 C:\DATA\Python\BPLA_OZ\fc_server.py:87(process_client_data)
       14    0.000    0.000    0.003    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:2140(info)
       14    0.000    0.000    0.003    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1479(info)
       14    0.000    0.000    0.003    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1610(_log)
        6    0.000    0.000    0.002    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\protocol.py:576(send)
        6    0.000    0.000    0.002    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\protocol.py:1192(write_frame)
        6    0.000    0.000    0.002    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\protocol.py:1167(write_frame_sync)
        6    0.000    0.000    0.002    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\framing.py:120(write)
        4    0.000    0.000    0.001    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\async_timeout\__init__.py:113(__enter__)
        3    0.000    0.000    0.001    0.000 C:\DATA\Python\BPLA_OZ\fc_server.py:59(notify_users)
       14    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1595(makeRecord)
       14    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:292(__init__)
       14    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1636(handle)
        4    0.000    0.000    0.001    0.000 {built-in method _warnings.warn}
        3    0.000    0.000    0.001    0.000 C:\DATA\Python\BPLA_OZ\fc_server.py:36(create_jwt_token)
       14    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1690(callHandlers)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\warnings.py:96(_showwarnmsg)
        3    0.000    0.000    0.001    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\jwt\api_jwt.py:45(encode)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\warnings.py:20(_showwarnmsg_impl)
       14    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:965(handle)
        6    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py:337(write)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\linecache.py:26(getline)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\linecache.py:36(getlines)
        4    0.000    0.000    0.001    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py:375(_loop_writing)
        6    0.000    0.000    0.001    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\frames.py:280(serialize)
        1    0.000    0.000    0.001    0.001 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\linecache.py:80(updatecache)
